2022-05-18 07:36:05,190 - INFO - Municipio: 'Alatoz'
2022-05-18 07:36:05,192 - INFO - Reanuda el procesado de '02002'
2022-05-18 07:36:05,627 - INFO - Descargando 'current_address.osm'
2022-05-18 07:36:06,231 - INFO - Leído 'current_address.osm': 4 nodos, 0 vías, 0 relaciones
2022-05-18 07:36:07,352 - INFO - Generado '2188801XJ4228N.osm.gz': 48 nodos, 15 vías, 1 relaciones
2022-05-18 07:36:07,353 - INFO - Generado '2189601XJ4228N.osm.gz': 9 nodos, 1 vías, 0 relaciones
2022-05-18 07:36:07,358 - INFO - Generado '2190010XJ4229S.osm.gz': 53 nodos, 13 vías, 0 relaciones
2022-05-18 07:36:07,363 - INFO - Generado '2287002XJ4228N.osm.gz': 44 nodos, 10 vías, 0 relaciones
2022-05-18 07:36:07,378 - INFO - Generado '2287106XJ4228N.osm.gz': 142 nodos, 38 vías, 0 relaciones
2022-05-18 07:36:07,386 - INFO - Generado '2287201XJ4228N.osm.gz': 51 nodos, 20 vías, 0 relaciones
2022-05-18 07:36:07,391 - INFO - Generado '2287401XJ4228N.osm.gz': 45 nodos, 11 vías, 0 relaciones
2022-05-18 07:36:07,392 - INFO - Generado '2287402XJ4228N.osm.gz': 4 nodos, 1 vías, 0 relaciones
2022-05-18 07:36:07,396 - INFO - Generado '2387403XJ4228N.osm.gz': 37 nodos, 9 vías, 0 relaciones
2022-05-18 07:36:07,404 - INFO - Generado '2387804XJ4228N.osm.gz': 81 nodos, 21 vías, 0 relaciones
2022-05-18 07:36:07,409 - INFO - Generado '2391802XJ4229S.osm.gz': 45 nodos, 8 vías, 0 relaciones
2022-05-18 07:36:08,591 - INFO - Generado 'zoning.geojson'
2022-05-18 07:36:08,592 - WARNING - Revisa 4 etiquetas fixme
2022-05-18 07:36:08,592 - INFO - Generado 'review.txt'. Por favor, compruébelo
2022-05-18 07:36:08,601 - INFO - ¡Terminado!
